fid;PK_UID;BEDRIJF;ADRES;HUISNR;WOONPLAATS;Postcode;klasse;categorie;NETTO_OPP;VERMOGEN;E_VERBRUIK;WA_LT;WA_LT_POT;RESTW_TEMP;UITKOPPEL;X;Y
87;52;Edgeconnex;Cessnalaan;55;Schiphol-Rijk;1119 NK;4;Middel-klein;2000-5000;12-25;44-176;30-120;60-240;30-35;(4) uitkoppeling pas mogelijk na een grote investering;112619;477521
88;53;Edgeconnex;Cessnalaan;32;Schiphol-Rijk;1119 NL;4;Middel-klein;2000-5000;12-25;44-176;30-120;60-240;30-35;(4) uitkoppeling pas mogelijk na een grote investering;112619;477521
89;54;Edgeconnex;Koolhovenlaan;6;Schiphol-Rijk;1119 NE;6;Middel-groot;10K-40K;25-100;176-440;120-290;240-580;30-35;(3) uitkoppeling van warmte vraagt enige investering;112695;477551
90;55;Equans;Minckelersstraat;2;Landgraaf;6372 PP;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;20-25;(4) uitkoppeling pas mogelijk na een grote investering;200068;322677
91;56;Equans;Amerikalaan;35;Maastricht;6199 AE;4;Middel-klein;2000-5000;0,5-2,5;8,8-22;6-15;6-12;20-25;(4) uitkoppeling pas mogelijk na een grote investering;182693;326539
92;57;e-quest;Schootense Dreef;26;Helmond;5708 HZ;2;Klein;200-1000;0,5-2,5;0,9-4,4;0,6-3;1,2-6;25-30;(4) uitkoppeling pas mogelijk na een grote investering;171243;387646
93;58;Equinix;Duivendrechtsekade;80A;Amsterdam;1096 AH;3;Klein;1000-2000;5-12;4,4-8,8;3-6;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;124049;483346
94;59;Equinix;Luttenbergweg;4;Amsterdam;1101 EC;4;Middel-klein;2000-5000;5-12;8,8-22;6-15;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;124631;479277
95;60;Equinix;Gyroscoopweg;2E-F;Amsterdam;1042 AB;4;Middel-klein;2000-5000;5-12;8,8-22;15-30;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;117657;490017
96;61;Equinix;Kuiperbergweg;13;Amsterdam;1101 AE;4;Middel-klein;2000-5000;5-12;8,8-22;15-30;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;124357;479549
97;62;Equinix;Luttenbergweg;4;Amsterdam;1101 EC;4;Middel-klein;2000-5000;5-12;8,8-22;15-30;30-60;20-25;(4) uitkoppeling pas mogelijk na een grote investering;124631;479277
98;63;Equinix;Schepenbergweg;42;Amsterdam;1105 AT;5;Middel-klein;5000-10K;12-25;22-44;15-30;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;124867;478510
99;64;Equinix;Science Park;610;Amsterdam;1098 XH;5;Middel-klein;5000-10K;12-25;22-44;15-30;60-240;20-25;(1) uitkoppeling wamte vindt al plaats;125922;485276
100;65;Equinix;Lemelerbergweg;28;Amsterdam;1101 AH;5;Middel-klein;5000-10K;12-25;44-176;30-120;60-240;20-25;(4) uitkoppeling pas mogelijk na een grote investering;124451;479656
101;66;Equinix;Science Park;610;Amsterdam;1098 XH;6;Middel-groot;10K-40K;25-100;44-176;30-120;60-240;20-25;(1) uitkoppeling wamte vindt al plaats;125922;485276
